id,track_name,artist_name,album_name,album_cover,release_date,preview_link,spotify_link,playlist_mood,name,length,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,timeSignature
1b027Iusu7sUPRNk1T7ZKo,Time After Time,Carlton Maison Quartet,Time After Time,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2730172412dec5f9a7d5d0caec6', 'width': 640}",2021-06-11,https://p.scdn.co/mp3-preview/405832c741fdd06954d6ceee044f26349a6dc5bb?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/1b027Iusu7sUPRNk1T7ZKo,Delighted,Time After Time,0 days 00:03:36.854000,0.975,0.477,0.14,0.0893,0.0993,-13.756,0.0385,78.842,0.28,4.0
0NaArK8e9ovK75lLRU0OWM,Do It Again,Shirley Horn,Loads Of Love,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273831d4b3aa9734d8cf79c8228', 'width': 640}",1963-02-14,,https://open.spotify.com/track/0NaArK8e9ovK75lLRU0OWM,Delighted,Do It Again,0 days 00:02:57.667000,0.84,0.521,0.0808,4.64e-06,0.356,-20.737,0.0568,77.921,0.279,4.0
2PVMfghJc3ayLHjGbGjg3J,Clear as Autumn Nights,Martin Landström,This Is What I Want for Christmas,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2735ff24eca0846d56ebe42019e', 'width': 640}",2021-11-19,https://p.scdn.co/mp3-preview/68e8a989fd3a59fd98663ad4535cbe2f7be88352?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/2PVMfghJc3ayLHjGbGjg3J,Delighted,Clear as Autumn Nights,0 days 00:05:01.500000,0.716,0.516,0.135,0.0201,0.0822,-17.955,0.0338,104.02,0.0931,4.0
1Aa2phci2wSI0PWyoESUJA,You Turned The Tables On Me,Billie Holiday,Solitude,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27334708df3636189370a12e6c1', 'width': 640}",1956-01-01,,https://open.spotify.com/track/1Aa2phci2wSI0PWyoESUJA,Delighted,You Turned The Tables On Me,0 days 00:03:26.760000,0.99,0.584,0.103,0.00257,0.102,-14.09,0.0435,81.899,0.356,4.0
1zL6ms4dZJ1l8y8F46llOv,Reaching,The Midnight Quartet,Reaching,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2736395390c8fe08c6e306917d3', 'width': 640}",2020-05-21,https://p.scdn.co/mp3-preview/42ef911fa852b24048909658b72d8972bcfc12e0?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/1zL6ms4dZJ1l8y8F46llOv,Delighted,Reaching,0 days 00:03:22.552000,0.955,0.519,0.134,0.887,0.126,-16.085,0.0356,78.515,0.154,4.0
48w1IYrxtNKmm0bBMICOdu,I'll Be Seeing You,Jenny Jones,I'll Be Seeing You,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2730dc6e058166e9e1a57fff399', 'width': 640}",2021-11-12,https://p.scdn.co/mp3-preview/5886395cb89543cd80619424ad85264f3d86082d?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/48w1IYrxtNKmm0bBMICOdu,Delighted,I'll Be Seeing You,0 days 00:03:33.108000,0.984,0.528,0.0897,0.941,0.121,-18.904,0.0341,105.17,0.305,3.0
0rBjatdnCRukzfvrSud5kE,I'm Glad There is You,"['Heidi Skjerve', 'Daniel Formo', 'Bjørn Marius Hegge', 'Håkon Mjåset Johansen']",I'm Glad There Is You,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273968e527899dd05e2cfbe7e27', 'width': 640}",2022-02-14,https://p.scdn.co/mp3-preview/534223f873dfe03cb9b40431ea4c9d018ac3ace6?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/0rBjatdnCRukzfvrSud5kE,Delighted,I'm Glad There is You,0 days 00:05:21.640000,0.699,0.381,0.298,0.00542,0.0893,-14.081,0.0387,62.705,0.275,4.0
5mmeNg2rN1v5VPvgO43uRT,I'm in the Mood for Love,Steve Luke & Holloway,I'm in the Mood for Love,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2737d265407ec896ab45c6ca165', 'width': 640}",2022-05-20,https://p.scdn.co/mp3-preview/5f8ad857ae676753bd4e96f66897318141e97e9b?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/5mmeNg2rN1v5VPvgO43uRT,Delighted,I'm in the Mood for Love,0 days 00:04:14.667000,0.907,0.336,0.164,0.923,0.0981,-16.935,0.0368,61.353,0.103,4.0
1PlFtAjJ0ZZIOPcIPNqkOh,Blame It On The Sun,Shelly Berg Trio,Blackbird,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273f8db655886855b5e3856f684', 'width': 640}",2005-01-01,,https://open.spotify.com/track/1PlFtAjJ0ZZIOPcIPNqkOh,Delighted,Blame It On The Sun,0 days 00:06:46.293000,0.758,0.432,0.14,0.771,0.0718,-19.959,0.0345,106.76,0.14,4.0
2dXBcXQmElv95h7Fl0P623,"Honey, You Are My Everything",Danny Ryan Jazz Band,"Honey, You Are My Everything","{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273358466f3cfe01cfd3416fd84', 'width': 640}",2022-05-29,https://p.scdn.co/mp3-preview/2583a5176d64e1dc4129c476aac50e39fac88f65?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/2dXBcXQmElv95h7Fl0P623,Delighted,"Honey, You Are My Everything",0 days 00:04:19.643000,0.944,0.327,0.107,0.93,0.0994,-21.7,0.0306,96.045,0.112,4.0
5UkdF1wkOtQ95CvA1zjfDb,I Concentrate on You,Little Tree Jazz Trio,I Concentrate on You,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273690c1534ad3ec2d08a4f2b75', 'width': 640}",2020-06-11,https://p.scdn.co/mp3-preview/69e2e996940c5703ad58292664183913e61677e1?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/5UkdF1wkOtQ95CvA1zjfDb,Delighted,I Concentrate on You,0 days 00:06:32.388000,0.965,0.523,0.209,0.907,0.134,-19.827,0.0341,82.163,0.224,4.0
1oAQJNKrMnIX5tLMan0UsY,I'm Yours,Billie Holiday,The Complete Commodore Recordings,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27323964d4e64db6190d186907a', 'width': 640}",1997-01-28,,https://open.spotify.com/track/1oAQJNKrMnIX5tLMan0UsY,Delighted,I'm Yours,0 days 00:03:18.867000,0.991,0.414,0.0235,9.55e-05,0.284,-14.744,0.0395,72.06,0.254,5.0
0FAYzBH8vYttTJpZOynse1,Candlelight,Trio Del Norte,Candlelight,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27348ffc6de757218daa0e23cda', 'width': 640}",2022-06-12,https://p.scdn.co/mp3-preview/59fe10b5d4415337dc8e3b91a83cb77a7150ba4a?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/0FAYzBH8vYttTJpZOynse1,Delighted,Candlelight,0 days 00:05:42.520000,0.847,0.492,0.204,0.875,0.126,-16.891,0.03,96.116,0.208,4.0
5AVd7JsN8ts3xiiU3MPpQM,Stardust - Remastered,Ben Webster,Ben Webster Plays Ballads Remastered,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273cc917c8d7b1e543bae717e7a', 'width': 640}",1968,https://p.scdn.co/mp3-preview/af20c7c29f1ab91a7ea18638fd4c6b29abdd6e9d?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/5AVd7JsN8ts3xiiU3MPpQM,Delighted,Stardust - Remastered,0 days 00:06:18.785000,0.979,0.577,0.114,0.74,0.324,-18.804,0.0596,67.243,0.313,4.0
6Acd5lhILmBOlhjGDFEUqz,Sails,Manor Blue,Sails,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2738bf6a1ae2ea9e8351f790d39', 'width': 640}",2021-10-29,https://p.scdn.co/mp3-preview/6df53ee5a42f12bd379ced3f73a92204b16fea44?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/6Acd5lhILmBOlhjGDFEUqz,Delighted,Sails,0 days 00:03:27.663000,0.929,0.481,0.264,0.78,0.1,-14.794,0.0355,118.351,0.181,4.0
2bYWfgNXxt4CQCPWBicqPx,I've Told Every Little Star,LaSalle Street Trio,Deep In A Dream,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273c52292b5b88130d5a5cd7244', 'width': 640}",2021-01-29,https://p.scdn.co/mp3-preview/076d122e3d98510aa699f76c61e06756ab08a130?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/2bYWfgNXxt4CQCPWBicqPx,Delighted,I've Told Every Little Star,0 days 00:04:13.213000,0.943,0.587,0.0575,0.865,0.0928,-22.505,0.0406,64.996,0.146,4.0
59IPyh29vl8BAb6k4yddbV,Mad About the Boy,Ernestine Anderson,It's Time For Ernestine,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273769aa422fd1ac28c66fd956f', 'width': 640}",1958,https://p.scdn.co/mp3-preview/d7f608f93e8b78074f8a1f00b326979d005c892b?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/59IPyh29vl8BAb6k4yddbV,Delighted,Mad About the Boy,0 days 00:03:24.267000,0.914,0.33,0.164,1.42e-06,0.119,-11.622,0.0339,61.025,0.297,4.0
6Io5TW0gliTyIZIssh5vS5,Silent Dreams,The City of Birches,Silent Dreams,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2737c71ba5de911b225d6f16907', 'width': 640}",2020-11-20,https://p.scdn.co/mp3-preview/d138fd9a3683c842cf9f0860207904925f3d4d91?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/6Io5TW0gliTyIZIssh5vS5,Delighted,Silent Dreams,0 days 00:04:08.038000,0.967,0.398,0.0521,0.163,0.109,-18.31,0.0367,112.87,0.246,4.0
4cZS6Zsn3H7Srg42UX7v5W,What Are You Doing The Rest Of Your Life,Rigmor Gustafsson,On My Way to You,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2731ddaa58ab27ce2346fdb1b21', 'width': 640}",2006-01-27,https://p.scdn.co/mp3-preview/e95e56a7d271e63b2afd0988a2392b768a416b1f?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/4cZS6Zsn3H7Srg42UX7v5W,Delighted,What Are You Doing The Rest Of Your Life,0 days 00:05:57.013000,0.97,0.478,0.139,4.12e-05,0.0641,-14.184,0.0371,129.565,0.142,4.0
04rPaVjf38UJDdOiFA40e0,Some Other Time,"['Monica Zetterlund', 'Bill Evans']",Waltz For Debby,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27311676bbde9f86b11549109bf', 'width': 640}",1964-10-01,,https://open.spotify.com/track/04rPaVjf38UJDdOiFA40e0,Delighted,Some Other Time,0 days 00:05:36.133000,0.869,0.408,0.112,5.97e-05,0.0957,-19.408,0.0325,112.446,0.156,4.0
4q86fROSuJgs5J8pX8YBZM,Try To Remember,The Jazz Cultivators,Try To Remember,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273f1e548d2076ad031c933bbcf', 'width': 640}",2022-04-15,https://p.scdn.co/mp3-preview/b8c512afac01ac723deb1366a032146eb03611a8?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/4q86fROSuJgs5J8pX8YBZM,Delighted,Try To Remember,0 days 00:03:26.457000,0.895,0.47,0.174,0.934,0.104,-18.095,0.0316,87.75,0.307,3.0
0OB9pzKCaECbHOf9ooimQc,Polka Dots and Moonbeams,Motor City Trio,You belong to me,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273cd452599630a48d2879eb65f', 'width': 640}",2021-01-15,https://p.scdn.co/mp3-preview/9ebd59657fa187fb7ac95be27560bb0582e3a5ce?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/0OB9pzKCaECbHOf9ooimQc,Delighted,Polka Dots and Moonbeams,0 days 00:02:52.642000,0.906,0.544,0.0757,0.587,0.0891,-22.21,0.0419,60.539,0.256,4.0
5DDx7lVobjWfLyvRDtW7BX,Dancing In The Dark,Cannonball Adderley,Somethin' Else (Rudy Van Gelder Edition),"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2730f81ed1bf84b3585a8492d3d', 'width': 640}",1958,,https://open.spotify.com/track/5DDx7lVobjWfLyvRDtW7BX,Delighted,Dancing In The Dark,0 days 00:04:07.200000,0.904,0.377,0.251,0.131,0.0586,-7.503,0.036,185.445,0.383,3.0
6iaE1tdPPx5KILayeCMOBl,Moon Song,Cécile McLorin Salvant,Ghost Song,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2730f568894901005d2ab33ae72', 'width': 640}",2022-03-04,https://p.scdn.co/mp3-preview/df16055814f77466ff940f1e1dab4ddc6c95af71?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/6iaE1tdPPx5KILayeCMOBl,Delighted,Moon Song,0 days 00:03:04.868000,0.942,0.336,0.119,0.0011,0.154,-14.291,0.0303,86.365,0.148,4.0
5np8aLrbzZDCHPPXyqNOeb,Prelude To A Kiss,Ella Fitzgerald,Ella Fitzgerald Sings The Duke Ellington Song Book,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273379023ee54719df0d63e8185', 'width': 640}",1957-01-01,,https://open.spotify.com/track/5np8aLrbzZDCHPPXyqNOeb,Delighted,Prelude To A Kiss,0 days 00:05:31.213000,0.943,0.439,0.0695,6.35e-06,0.133,-17.333,0.0396,121.575,0.196,4.0
2uW43oEqS8nCOcMP7nwNLE,Confidant,Bernstein Square,Confidant,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273fdbd493da7390686d54b1235', 'width': 640}",2022-05-13,https://p.scdn.co/mp3-preview/bc2369d9315e1a4b07eb14373ba231398192e1a5?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/2uW43oEqS8nCOcMP7nwNLE,Delighted,Confidant,0 days 00:04:04.734000,0.917,0.562,0.169,0.87,0.106,-17.401,0.0405,114.855,0.115,4.0
