id,genre,track_name,artist_name,album_name,album_cover,release_date,preview_link,spotify_link,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,playlist_mood
0VZ9xPNa6ROafP6GYYuv2S,chill,Marry Me,Train,"Save Me, San Francisco (Golden Gate Edition)",https://i.scdn.co/image/ab67616d0000b2735d3e2c61526cb8e62a6a341d,2009,,https://open.spotify.com/track/0VZ9xPNa6ROafP6GYYuv2S,0.829,0.366,0.269,1.67e-05,0.108,-8.456,0.0287,86.577,0.492,Sad
1cdC9TCqyLwAlsw3fVJaJS,chill,Soundtrack 2 My Life,Kid Cudi,Man On The Moon: The End Of Day,https://i.scdn.co/image/ab67616d0000b273aab2c3c3f1f3207137d915c9,2009-09-15,,https://open.spotify.com/track/1cdC9TCqyLwAlsw3fVJaJS,0.465,0.464,0.754,1.57e-05,0.37,-6.653,0.128,86.501,0.444,Sad
0Cll7d8lmNn05ZOVm5l5va,chill,Over The Rainbow/What A Wonderful World,"Israel ""IZ"" Kamakawiwoole",Music From The Motion Picture Fred Claus,https://i.scdn.co/image/ab67616d0000b273fe7ad5c462bd62525df52151,2007-11-13,https://p.scdn.co/mp3-preview/0d51815d0614c319c42aedff9e89916892e8168e?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/0Cll7d8lmNn05ZOVm5l5va,0.928,0.675,0.16,7.86e-05,0.0762,-13.6,0.039,85.105,0.661,Sad
5snyhxAh55A2wlNRH7VVZJ,chill,Another Love - Zwette Edit,"Tom Odell,Zwette",Another Love (Zwette Edit),https://i.scdn.co/image/ab67616d0000b2733aeff37d3f480564f6e88059,2013-09-27,https://p.scdn.co/mp3-preview/d6a97d0a24f987bf474983a0a7635b457fc88b8a?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/5snyhxAh55A2wlNRH7VVZJ,0.0802,0.87,0.554,0.0739,0.115,-5.828,0.0635,123.998,0.462,Sad
1mr3616BzLdhXfJmLmRsO8,chill,Fireflies,Owl City,Ocean Eyes,https://i.scdn.co/image/ab67616d0000b2730d07cf2e2235ec0f2f1263f6,2009-01-01,,https://open.spotify.com/track/1mr3616BzLdhXfJmLmRsO8,0.0274,0.513,0.661,0.0,0.118,-6.8,0.0439,180.118,0.461,Sad
6T10XPeC9X5xEaD6tMcK6M,chill,All I Need (feat. Beth Hirsch),"Air,Beth Hirsch",Moon Safari,https://i.scdn.co/image/ab67616d0000b2731036fcd9b08c3fe598ef2883,1998-01-16,https://p.scdn.co/mp3-preview/ba1e0b83e11b489dac6b55c5e00a382d6f5dab0f?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/6T10XPeC9X5xEaD6tMcK6M,0.878,0.327,0.425,0.000873,0.18,-11.577,0.027,93.946,0.165,Sad
2nvC4i2aMo4CzRjRflysah,chill,In My Place,Coldplay,A Rush of Blood to the Head,https://i.scdn.co/image/ab67616d0000b27390afd8e4ec6d787114ed6c40,2002-08-08,https://p.scdn.co/mp3-preview/162447e72145f1e61632290506390bcdfb0ec216?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/2nvC4i2aMo4CzRjRflysah,0.0553,0.424,0.588,4.95e-06,0.298,-5.455,0.0278,144.636,0.193,Sad
0JXXNGljqupsJaZsgSbMZV,chill,Sure Thing,Miguel,All I Want Is You,https://i.scdn.co/image/ab67616d0000b273d5a8395b0d80b8c48a5d851c,2010-11-26,https://p.scdn.co/mp3-preview/ac23c7720bae57110ec55090c052dd93092df999?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/0JXXNGljqupsJaZsgSbMZV,0.0267,0.684,0.607,0.000307,0.191,-8.127,0.1,81.001,0.498,Sad
0ygAYQQy7bfDN6gH640bbl,chill,Wake Me Up,Ed Sheeran,+,https://i.scdn.co/image/ab67616d0000b273ed139c2e0e3681cc2d35e256,2011-09-09,https://p.scdn.co/mp3-preview/61e9c340a605b7141a9d099f702dffd1eba27600?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/0ygAYQQy7bfDN6gH640bbl,0.902,0.616,0.209,0.0,0.139,-13.43,0.406,86.891,0.336,Sad
2QhURnm7mQDxBb5jWkbDug,chill,Don't Panic,Coldplay,Parachutes,https://i.scdn.co/image/ab67616d0000b2733d92b2ad5af9fbc8637425f0,2000-07-10,https://p.scdn.co/mp3-preview/fda207b211a19816207a370be71f26d365627d9f?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/2QhURnm7mQDxBb5jWkbDug,0.206,0.602,0.612,0.00607,0.107,-8.409,0.0335,122.062,0.453,Sad
3dQfMd0TxVHRnFeaudSmSL,chill,Where Are You Now (Bonus Track),Mumford & Sons,Babel (Deluxe Edition),https://i.scdn.co/image/ab67616d0000b273abe038454035190da104a2eb,2012-09-21,,https://open.spotify.com/track/3dQfMd0TxVHRnFeaudSmSL,0.627,0.493,0.346,3.08e-06,0.0917,-10.147,0.0411,83.113,0.129,Sad
5gf6t8j49qayhwrnd05uLI,chill,Crosses,José González,Imperial Recordings Best Of,https://i.scdn.co/image/ab67616d0000b273084a21015876c1b086ea20ed,2011-02-28,,https://open.spotify.com/track/5gf6t8j49qayhwrnd05uLI,0.895,0.666,0.37,0.0235,0.102,-9.945,0.0295,134.631,0.318,Sad
58CrldAc1Z5WIBozT1NMJH,chill,Ordinary People,John Legend,Get Lifted,https://i.scdn.co/image/ab67616d0000b273485b7e17262469bf05a20ee1,2004,,https://open.spotify.com/track/58CrldAc1Z5WIBozT1NMJH,0.929,0.469,0.132,0.0,0.0873,-14.001,0.0807,67.011,0.36,Sad
