id,genre,track_name,artist_name,album_name,album_cover,release_date,preview_link,spotify_link,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,playlist_mood
7p98zfyf7VkIndtmWA6iGr,sleep,The Untouchables-The Death Theme (Ennio Morricone),"Orchestra Seattle,George Shangrow",A Tribute to Sean Connery,https://i.scdn.co/image/ab67616d0000b273bb9ee89df837850fbc8ebb4e,2012-04-18,https://p.scdn.co/mp3-preview/8b7d22fb2d6e5ead9f63ef87c72c57205e3b6151?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/7p98zfyf7VkIndtmWA6iGr,0.975,0.076,0.0341,0.963,0.104,-28.668,0.0443,81.758,0.0768,Sleepy
7whKNTYukx5k5Iq89Xb1K4,sleep,Candles,Jon Hopkins,Monsters (Original Motion Picture Soundtrack),https://i.scdn.co/image/ab67616d0000b2736d0c0e547b43686ec04603ac,2010-11-29,,https://open.spotify.com/track/7whKNTYukx5k5Iq89Xb1K4,0.868,0.298,0.148,0.843,0.11,-26.245,0.0438,108.658,0.0603,Sleepy
0siYhJVENxR6aeqH9uAAs3,sleep,Dreaming Of Bag End,Howard Shore,The Hobbit: An Unexpected Journey Original Motion Picture Soundtrack (International Version),https://i.scdn.co/image/ab67616d0000b273e294f3851ace91a3be2c17f2,2012-01-01,,https://open.spotify.com/track/0siYhJVENxR6aeqH9uAAs3,0.732,0.195,0.124,0.896,0.15,-19.457,0.0395,95.319,0.0396,Sleepy
6ybwRYDiWlC7N8LXcaQ1Wz,songwriter,Show Me Heaven (from Days Of Thunder),Royal Philharmonic Orchestra,The Best Of,https://i.scdn.co/image/ab67616d0000b273ed3c9fb6b57263951f6b0a4a,2009-08-01,,https://open.spotify.com/track/6ybwRYDiWlC7N8LXcaQ1Wz,0.208,0.401,0.243,0.888,0.0601,-18.055,0.0287,159.931,0.266,Sleepy
3LVu9UknpRqRoo8huEBiXr,soundtracks,Cybertron,Steve Jablonsky,Transformers: The Score,https://i.scdn.co/image/ab67616d0000b273fb97e773be6149c9c935880c,2007-10-01,https://p.scdn.co/mp3-preview/89fb0ed7d2885b2a3e81abdf1cfb3c2365395a7a?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/3LVu9UknpRqRoo8huEBiXr,0.199,0.0741,0.136,0.888,0.108,-21.801,0.0375,80.591,0.0313,Sleepy
2SGa3eKYVadfZ22PSKU4YK,soundtracks,Am I Not Merciful?,"Hans Zimmer,Gavin Greenaway,The Lyndhurst Orchestra",Gladiator - Music From The Motion Picture,https://i.scdn.co/image/ab67616d0000b273f3a2d7f692fcad25284c5f1e,2000-04-25,,https://open.spotify.com/track/2SGa3eKYVadfZ22PSKU4YK,0.116,0.0883,0.0809,0.557,0.112,-21.19,0.0402,86.525,0.0373,Sleepy
1tz32t5uHyjFxXHStEs3aA,soundtracks,Release,Deborah Lurie,9 Original Motion Picture Soundtrack,https://i.scdn.co/image/ab67616d0000b273123531febdc772d0dd28e874,2009-08-31,,https://open.spotify.com/track/1tz32t5uHyjFxXHStEs3aA,0.729,0.209,0.0768,0.936,0.28,-22.436,0.0419,67.609,0.0309,Sleepy
6GjDgtYc32aykZLBwXsJU4,soundtracks,On Stranger Tides,Hans Zimmer,Pirates Of The Caribbean: On Stranger Tides (Original Motion Picture Soundtrack),https://i.scdn.co/image/ab67616d0000b2739b486780ee7bdaddfbb93775,2011-01-01,,https://open.spotify.com/track/6GjDgtYc32aykZLBwXsJU4,0.482,0.122,0.295,0.971,0.0826,-14.032,0.052,83.846,0.0398,Sleepy
7G799Mcsbvfn5TSWZ7u7gI,soundtracks,Radical Notion,Hans Zimmer,Inception (Music From The Motion Picture),https://i.scdn.co/image/ab67616d0000b273bb53ecc4d4e007f8c0464753,2010-07-09,https://p.scdn.co/mp3-preview/da63df2b00de87566b92888629c405d917ca619b?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/7G799Mcsbvfn5TSWZ7u7gI,0.614,0.176,0.21,0.85,0.131,-22.375,0.047,168.017,0.038,Sleepy
3MjVnlXRHeIMQ8Dvb43Ajm,soundtracks,Frost Giant Battle,Patrick Doyle,Thor,https://i.scdn.co/image/ab67616d0000b273906ed97342960514f9553fa8,2011-01-01,,https://open.spotify.com/track/3MjVnlXRHeIMQ8Dvb43Ajm,0.22,0.419,0.594,0.959,0.346,-14.876,0.0474,82.847,0.16,Sleepy
