id,genre,track_name,artist_name,album_name,album_cover,release_date,preview_link,spotify_link,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,playlist_mood
0NDV8dj1wP5sOi07rBYcTy,heavy-metal,The Unknowing,Omnium Gatherum,Beyond,https://i.scdn.co/image/ab67616d0000b273a807e05e4f60e673d5f6ee79,2013-02-22,https://p.scdn.co/mp3-preview/e05fd7f8878dfeee15d3ec836505aa40dcece26a?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/0NDV8dj1wP5sOi07rBYcTy,0.000763,0.24,0.911,0.388,0.128,-4.335,0.0576,178.078,0.133,Angry
15zUfY9L1p7bN9JsgaTAP0,heavy-metal,Strife,Trivium,Vengeance Falls (Special Edition),https://i.scdn.co/image/ab67616d0000b2731845aeca9258f7a9aabd3fa2,2013-10-08,https://p.scdn.co/mp3-preview/e30100414a4a89861fd2f7f6df343c6365ba9da5?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/15zUfY9L1p7bN9JsgaTAP0,3.58e-05,0.461,0.987,8.48e-05,0.359,-1.711,0.108,142.031,0.309,Angry
4o618zI5DjIaoABS7d4pzx,heavy-metal,Blood Mantra,Decapitated,Blood Mantra,https://i.scdn.co/image/ab67616d0000b273f18b51ac7805ea5b710ac5fa,2014-09-30,,https://open.spotify.com/track/4o618zI5DjIaoABS7d4pzx,1.85e-05,0.168,0.98,0.346,0.199,-3.504,0.162,179.978,0.171,Angry
1Vqw8DyNJsocCtU3o1GBbW,heavy-metal,Building with Fire,Enslaved,In Times,https://i.scdn.co/image/ab67616d0000b273c884a6376e5150b8fc15372d,2015-03-06,,https://open.spotify.com/track/1Vqw8DyNJsocCtU3o1GBbW,1.39e-05,0.36,0.978,0.00209,0.12,-5.43,0.0644,150.013,0.365,Angry
0VIsn60cvchrocLoaJ87GM,heavy-metal,Melancholia,Tribulation,The Children Of The Night (NotSet),https://i.scdn.co/image/ab67616d0000b27366d641512675973e5b8a7c46,2015-04-20,,https://open.spotify.com/track/0VIsn60cvchrocLoaJ87GM,1.46e-05,0.312,0.971,0.0109,0.746,-5.139,0.0785,160.009,0.203,Angry
5gvEv8RLtvH4YumbCQp3wQ,heavy-metal,1.618,Allegaeon,Elements of the Infinite,https://i.scdn.co/image/ab67616d0000b2737d42ecaaafaf00e5cc742b9a,2014-06-23,https://p.scdn.co/mp3-preview/20f6ff85c9b20ebf86a22de318309e722c1a2249?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/5gvEv8RLtvH4YumbCQp3wQ,7.63e-05,0.468,0.984,0.000806,0.196,-3.763,0.12,133.964,0.356,Angry
60xc9CfAn4aoY8MDDif9fV,heavy-metal,Mjød,Kvelertak,Kvelertak,https://i.scdn.co/image/ab67616d0000b273110d1c47a70f3fc6b13eba50,2010-06-21,,https://open.spotify.com/track/60xc9CfAn4aoY8MDDif9fV,1.2e-05,0.229,0.888,0.56,0.211,-3.888,0.0639,131.584,0.298,Angry
4nm9rEC2KiKeQFq3LbDfM0,heavy-metal,Rebellion (The Clans Are Marching),Grave Digger,Masterpieces,https://i.scdn.co/image/ab67616d0000b27319f68b6ab2445fdedc0e8830,2002-11-18,https://p.scdn.co/mp3-preview/dac9ad3276d4d42dad98821e917c8053ed0a3748?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/4nm9rEC2KiKeQFq3LbDfM0,0.0015,0.398,0.828,0.00281,0.302,-5.507,0.0618,131.848,0.189,Angry
09JeoCSR7bg1ZNZWcaGv9K,heavy-metal,Into The Infinity Of Thoughts,Emperor,In The Nightside Eclipse,https://i.scdn.co/image/ab67616d0000b2731307d35f752bf8fcc88e586b,1994,,https://open.spotify.com/track/09JeoCSR7bg1ZNZWcaGv9K,0.00857,0.0709,0.943,0.822,0.0783,-5.599,0.0718,74.4,0.0665,Angry
6TRuW1ZgKCCk24uCuhfo7r,heavy-metal,Stillborn,Black Label Society,The Blessed Hellride,https://i.scdn.co/image/ab67616d0000b273af5a33436fc021c4835f724f,2003-01-01,,https://open.spotify.com/track/6TRuW1ZgKCCk24uCuhfo7r,2.14e-05,0.583,0.873,0.00133,0.393,-4.436,0.0364,107.041,0.454,Angry
