id,genre,track_name,artist_name,album_name,album_cover,release_date,preview_link,spotify_link,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,playlist_mood
0Fi9tYRYSsMPzNVYdgHY7Q,sleep,Love Me - Original,Yiruma,First Love (Yiruma Piano Collection),https://i.scdn.co/image/ab67616d0000b273aa25a237b7734a5497a809f3,2001-11-27,,https://open.spotify.com/track/0Fi9tYRYSsMPzNVYdgHY7Q,0.992,0.413,0.256,0.928,0.103,-21.65,0.0602,76.787,0.262,Calm
7aHXCG5cGPHv4BhSBaciEL,sleep,Clair De Lune,Relaxing Piano Music Consort,"Time to Relax- Relaxing, Calming, Stress Relief Classical Music for Healing",https://i.scdn.co/image/ab67616d0000b27366ed912b4df25bc6a44786da,2010-07-29,https://p.scdn.co/mp3-preview/81ba32d1ca06df62d789948517209992aff0fcb5?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/7aHXCG5cGPHv4BhSBaciEL,0.991,0.312,0.00393,0.898,0.0636,-36.36,0.0482,135.19,0.22,Calm
2gUSIsapdX6jEJ0DvjqTt2,sleep,Naked As We Came,Iron & Wine,Our Endless Numbered Days,https://i.scdn.co/image/ab67616d0000b2734169327dcda169b6c0daed3b,2004-03-23,,https://open.spotify.com/track/2gUSIsapdX6jEJ0DvjqTt2,0.629,0.367,0.208,0.0584,0.106,-16.734,0.0363,172.358,0.663,Calm
2KjHhl4FfRb9t9wIJoRID6,sleep,First Breath After Coma,Explosions In The Sky,The Earth Is Not a Cold Dead Place,https://i.scdn.co/image/ab67616d0000b273ec5724c2621c446f04c10af4,2003-11-04,,https://open.spotify.com/track/2KjHhl4FfRb9t9wIJoRID6,0.0185,0.328,0.479,0.682,0.268,-13.336,0.0313,119.596,0.0569,Calm
5jtPTEELQcvrORodZk7sVS,sleep,Calming Music,Calming Music Academy,Calming Music,https://i.scdn.co/image/ab67616d0000b273c31163f721a68a6959cb0365,2011-02-16,https://p.scdn.co/mp3-preview/a366bcea75141a9a015bc2b21c93b65ca307b48f?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/5jtPTEELQcvrORodZk7sVS,0.992,0.163,0.103,0.919,0.0983,-22.25,0.0306,75.29,0.0384,Calm
4O0Yww5OIWyfBvWn6xN3CM,sleep,Divenire,Ludovico Einaudi,Divenire,https://i.scdn.co/image/ab67616d0000b273f467e2ec788dba4079c99bdf,2007-04-20,,https://open.spotify.com/track/4O0Yww5OIWyfBvWn6xN3CM,0.914,0.144,0.21,0.883,0.0694,-15.425,0.0344,88.771,0.084,Calm
0mh7eTsBmQj29bkgpQKoPj,sleep,Each Coming Night,Iron & Wine,Our Endless Numbered Days,https://i.scdn.co/image/ab67616d0000b2734169327dcda169b6c0daed3b,2004-03-23,,https://open.spotify.com/track/0mh7eTsBmQj29bkgpQKoPj,0.835,0.361,0.23,0.517,0.111,-15.517,0.0359,163.354,0.415,Calm
2MZSXhq4XDJWu6coGoXX1V,sleep,Avril 14th,Aphex Twin,Drukqs,https://i.scdn.co/image/ab67616d0000b273a5aef98a1762d0f64bb6ed9a,2001-10-22,https://p.scdn.co/mp3-preview/e4a8332a70b7155e7e3a4a76c0e834ad447d5870?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/2MZSXhq4XDJWu6coGoXX1V,0.996,0.558,0.0259,0.871,0.0969,-30.016,0.0458,157.811,0.37,Calm
6reF60Z1fDFvCpIVLlGupg,songwriter,Wooden Ships,"Crosby, Stills, Nash & Young",So Far,https://i.scdn.co/image/ab67616d0000b273f20249de0d94e7d93b798beb,1974-08-19,,https://open.spotify.com/track/6reF60Z1fDFvCpIVLlGupg,0.751,0.339,0.28,0.137,0.101,-14.282,0.0332,158.106,0.562,Calm
2GsM1KmT8h7WnKEVlQDyzL,songwriter,Artifact #1,Conor Oberst,Upside Down Mountain,https://i.scdn.co/image/ab67616d0000b273df72c3d108538e9cc7c62ec8,2014-05-16,https://p.scdn.co/mp3-preview/05265210b1933cb6fe8da978958cd0d49833e3d1?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/2GsM1KmT8h7WnKEVlQDyzL,0.769,0.552,0.494,0.127,0.101,-9.392,0.0308,81.272,0.431,Calm
