id,genre,track_name,artist_name,album_name,album_cover,release_date,preview_link,spotify_link,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,playlist_mood
0ry1DcOVebPl6QMQQnY3Dr,turkish,Dansöz,Serdar Ortaç,Mesafe,https://i.scdn.co/image/ab67616d0000b2736ec24cd9406bdeee20a36a4f,2006-04-25,https://p.scdn.co/mp3-preview/5e8a62881991bb00a778009cd3c9cb779c095816?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/0ry1DcOVebPl6QMQQnY3Dr,0.0149,0.698,0.925,3.52e-05,0.338,-6.133,0.0441,129.961,0.816,Excited
6HIeWAhjUPdKU8NXSHqlZP,turkish,Bu Aşkın Katili Sensin,Fettah Can,Aklımda Kalanlar,https://i.scdn.co/image/ab67616d0000b27359c0c2855e0d07d755807d8b,2012-03-01,https://p.scdn.co/mp3-preview/1c8d32eb4dc18b38ba87285447ccda7358d10078?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/6HIeWAhjUPdKU8NXSHqlZP,0.462,0.662,0.855,0.0,0.154,-4.779,0.104,92.006,0.776,Excited
3FV8CiwnZsqJr675GFLVQ0,turkish,Acısı Bile Bal,Gülşen,Beni Durdursan Mı ?,https://i.scdn.co/image/ab67616d0000b273a06153954ca1d8e73dc90ca1,2013-02-22,https://p.scdn.co/mp3-preview/ee6002f898d0af1605f8ae09b5925719d4aab784?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/3FV8CiwnZsqJr675GFLVQ0,0.116,0.649,0.931,1.68e-06,0.14,-4.265,0.0409,129.959,0.681,Excited
2eCSUl2Sagglo84j1fmdUK,turkish,Tatil,Özgün,Tatil,https://i.scdn.co/image/ab67616d0000b273200789daf86100718d54f129,2013-05-14,https://p.scdn.co/mp3-preview/e215a80baf029fb6d8f1419cdddea3768999ed6f?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/2eCSUl2Sagglo84j1fmdUK,0.202,0.689,0.811,0.0,0.126,-4.117,0.117,173.915,0.921,Excited
4kkCXow1USLenv8RHH4Lvz,turkish,Rengarenk,Sertab Erener,Rengârenk,https://i.scdn.co/image/ab67616d0000b273a58f6155f4bc7c2779570d75,2010-06-02,,https://open.spotify.com/track/4kkCXow1USLenv8RHH4Lvz,0.479,0.845,0.863,0.0,0.134,-2.375,0.0476,98.006,0.679,Excited
5YBvfgYvyEdaKYjcr4VpOb,turkish,Seninle Çok İşim Var,Ebru Gündeş,Bize De Bu Yakışır,https://i.scdn.co/image/ab67616d0000b2737056144bd5b58ec971c745a8,2004-11-28,https://p.scdn.co/mp3-preview/680e6561ce08fa42a9d3506c3f638e1b2ab75451?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/5YBvfgYvyEdaKYjcr4VpOb,0.236,0.718,0.917,0.0,0.0608,-6.894,0.12,179.986,0.915,Excited
5Nq9z5Kq0E1XuxhnhYt4OE,turkish,Cambaz,mor ve ötesi,Dünya Yalan Söylüyor,https://i.scdn.co/image/ab67616d0000b273ff96c76871685c818848d4e9,2004-04-16,,https://open.spotify.com/track/5Nq9z5Kq0E1XuxhnhYt4OE,0.0185,0.533,0.874,5.13e-05,0.14,-1.68,0.0361,153.999,0.67,Excited
1kxyZ2SpflM1ogD0B5hgfX,work-out,Can't Believe It (feat. Pitbull),"Flo Rida,Pitbull",Can't Believe It (feat. Pitbull),https://i.scdn.co/image/ab67616d0000b273298b2a8b04fae7951939294f,2013-07-29,https://p.scdn.co/mp3-preview/00be04a1c4c352b2d1b9479fcf72bfa65f763579?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/1kxyZ2SpflM1ogD0B5hgfX,0.0214,0.747,0.83,0.00024,0.0639,-5.426,0.0899,123.988,0.64,Excited
3rqe57UvA8vxlzRuiAx4P5,work-out,S&M Remix,"Rihanna,Britney Spears",S&M Remix,https://i.scdn.co/image/ab67616d0000b273dfd64dc115deadc1654ab706,2011-04-11,,https://open.spotify.com/track/3rqe57UvA8vxlzRuiAx4P5,0.0609,0.819,0.796,0.0,0.0647,-3.397,0.0546,127.931,0.886,Excited
1iMq1SKpMAfEDl7yh9g70j,work-out,Work,Iggy Azalea,Work,https://i.scdn.co/image/ab67616d0000b273affe2c5cef2bf0f7d49efe09,2013-04-02,,https://open.spotify.com/track/1iMq1SKpMAfEDl7yh9g70j,0.0602,0.695,0.814,0.0,0.405,-4.946,0.17,140.022,0.512,Excited
